talent_id,hero_id,talent_level,talent_name,talent_cooldown,talent_desc
1,1,4,Adrenal Overload,0,Symbiote host gains 25% increased Attack Speed.
2,1,16,Adrenaline Boost,0,Symbiote\'s Carapace increases the Movement Speed of the target by 40% for 3.5 seconds.
3,1,13,Assault Strain,0,"Locust Basic Attacks cleave for 50% damage, and explode on death for 224 (107 + 4% per level) damage."
4,1,4,Ballistospores,0,Increases Toxic Nest\'s range to global and increases duration by 25%.
5,1,13,Bombard Strain,0,Locust\'s Basic Attacks become a long-range siege attack that deal 70% more damage.
6,1,7,Calldown: MULE,60,"Activate to calldown a Mule that repairs Structures, one at a time, near target point for 40 seconds, healing for 100 Health every 1 second. Grants 1 ammo every 3 seconds."
7,1,1,Envenomed Nest,0,Toxic Nests deal 75% more damage over 3 seconds.
8,1,16,Envenomed Spikes,0,Your Symbiote\'s Spike Burst also slows enemy Movement Speed by 40% for 2 seconds.
9,1,20,Evolution Complete,0,Monstrosity gains the ability to Deep Tunnel to any visible location once every 25 seconds.
10,1,20,Evolutionary Link,0,"As long as the Ultimate Evolution is alive, the original target of the clone gains a Shield equal to 25% of their maximum Health. Refreshes every 5 seconds."
11,1,10,Evolve Monstrosity,0,"Turn an allied Minion or Locust into a Monstrosity. When enemy Minions or captured Mercenaries near the Monstrosity die, it gains 5% Health and 5% Basic Attack damage, stacking up to 40 times. The Monstrosity takes 50% less damage from Minions and Structures.Using Symbiote on the Monstrosity allows you to control it, in addition to Symbiote\'s normal benefits."
12,1,20,Hivemind,0,"Symbiote creates an additional Symbiote on a nearby allied Hero. This Symbiote mimics the commands of the first, but does half the damage and shielding."
13,1,16,Locust Brood,45,Activate to spawn 3 Locusts at a nearby location.
14,1,20,Locust Nest,45,Activate to create a nest that periodically spawns Locusts. Only one Locust Nest can be active at a time.
15,1,7,Needlespine,0,Increases the damage and range of Symbiote\'s Stab by 20%.
16,1,7,Networked Carapace,0,"Using Symbiote\'s Carapace also applies an untalented Carapace Shield to all nearby allied Heroes, Minions, and Mercenaries."
17,1,1,Pressurized Glands,0,Increases the range of Symbiote\'s Spike Burst by 25% and decreases the cooldown by 1 second.
18,1,4,Prolific Dispersal,0,Reduces the cooldown of Toxic Nest by 2 seconds and adds 2 additional charges.
19,1,1,Regenerative Microbes,0,Symbiote\'s Carapace heals the target for 149 (71 + 4% per level) Health per second over 4 seconds.
20,1,13,Soma Transference,0,Symbiote\'s Spike Burst heals the host for 141 (67 + 4% per level) Health per enemy Hero hit.
21,1,13,Spatial Efficiency,0,Symbiote\'s Stab gains 1 additional charge and its cooldown is reduced by 0.5 seconds.
22,1,1,Survival Instincts,0,Increases Locust\'s Health by 50% and duration by 40%.
23,1,4,Sustained Carapace,0,Increases the Shield amount of Symbiote\'s Carapace by 40% and allows it to persist after Symbiote ends.
24,1,10,Ultimate Evolution,0,"Clone target allied Hero and control it for 20 seconds. Abathur has perfected the clone, granting it 20% Ability Power, 20% bonus Attack Damage, and 10% bonus Movement Speed. Cannot use their Heroic Ability."
25,1,7,Vile Nest,0,Toxic Nests slow enemy Movement Speed by 40% for 2.5 seconds.
26,1,16,Volatile Mutation,0,Ultimate Evolution clones and Monstrosities deal 301 (143 + 4% per level) damage to nearby enemies every 3 seconds and when they die.
27,2,1,Extended Spikes,0,Increases the max range of Impale by 25%.
28,2,1,Dampen Magic,0,"Upon taking Ability Damage, reduce that damage and further Ability Damage by 50% for 1.5 seconds. Can only trigger once every 8 seconds."
29,2,1,Assault Scarab,0,Increases the attack damage of spawned Beetles by 30%.
30,2,1,Regeneration Master,0,"Quest: Gathering a Regeneration Globe increases your Health Regeneration by 1 per second, up to 30. Reward: After gathering 30 Regeneration Globes, you also gain 500 Health."
31,2,4,Underking,0,Increases Burrow Charge range by 20% and damage by 100%.
32,2,4,Locust Needles,0,Basic Attacks deal 50% of your Basic Attack Damage in an area around the target.
33,2,4,Legion of Beetles,0,Anub\'arak automatically spawns Beetles every 8 seconds. Can be toggled on and off.
34,2,7,Shed Exoskeleton,0,Using Harden Carapace also increases Anub\'arak\'s Movement Speed by 30% for 3 seconds.
35,2,7,Chitinous Plating,0,Increases Harden Carapace\'s Shield amount by 40%.
36,2,7,Leeching Scarabs,0,Beetles heal you for 50% of their damage with each attack if you are nearby.
37,2,10,Locust Swarm,0,Deal 145 (69 + 4% per level) damage per second in an area around yourself. Each enemy damaged heals you for 40 (19 + 4% per level) Health. Lasts 8 seconds.
38,2,10,Cocoon,0,"Wraps target enemy Hero in a cocoon, rendering them unable to act or be targeted for 8 seconds. Allies of the Hero can attack the cocoon to break it and free them early."
39,2,13,Burning Rage,0,Deal 23 damage per second to nearby enemies.
40,2,13,Urticating Spines,0,Casting Harden Carapace will also deal 176 (84 + 4% per level) damage to nearby enemies.
41,2,13,Bed of Barbs,0,Create a bed of spikes along Impale\'s path that slows enemy Move Speed by 30% and deals 101 (48 + 4% per level) damage per second. Spikes persist for 3.5 seconds.
42,2,16,Epicenter,0,Increases Burrow Charge impact area by 85% and lowers the cooldown by 4 seconds for each Hero hit.
43,2,16,"Beetle, Juiced",0,Every 3rd Basic Attack against enemy Heroes sapwns a Beetle.
44,2,16,Blood for Blood,0,Activate to deal 10% of target enemy Hero\'s Max Health and heal for twice that amount.
45,2,20,Hive Master,0,Anub\'arak gains a permanent Vampire Locust that attacks a nearby enemy every 3 seconds. The Vampire Locust deals 336 (160 + 4% per level) damage and returns to heal Anub\'arak for 82 (39 + 4% per level) health.
46,2,20,Cryptweave,0,Staying near the Coccon allows Anub\'arak to extend the duration by up to 4 seconds per Cocoon.
47,2,20,Hardened Shield,0,Activate to reduce damage taken by 75% for 4 seconds.
48,2,20,Rewind,0,Activate to reset the cooldowns of your Basic Abilities.
49,3,1,Reactive Parry,0,Activating Twin Blades reduces the damage received from the next Hero Basic Attack by 75%. Can store up to 2 charges.
50,3,1,Amateur Opponent,0,Twin Blades attacks deal 150% bonus damage versus non-Heroic enemies.
51,3,1,Seasoned Marksman,0,"Quest: Every Minion killed near you grants 0.2 Attack Damage, and Takedowns grant 0.5 Attack Damage.Reward: Upon gaining 40 bonus Attack Damage, you can also activate Seasoned Marksman to increase your Attack Speed by 40% for 3 seconds. 60 second cooldown."
52,3,4,Psionic Synergy,0,Cooldown Reduction gained by hitting Heroes with Blade Dash is increased to 4 seconds.
53,3,4,Shield Battery,0,"Shield Overload\'s cooldown recharges 50% faster while the shield is active, and increases the duration of Shielf Overload from 5 to 6 seconds."
54,3,4,Shield Surge,0,Shield Overload\'s shield amount is increased by 80% while you are below 25% Max Health.
55,3,7,Solarite Reaper,0,Increases the damage of the first dash of Blade Dash by 150%.
56,3,7,Warp Sickness,0,Phase Prism also slows the enemy\'s Movement Speed by 35% for 4 seconds.
57,3,7,Chrono Surge,0,Hitting an enemy Hero with Phase Prism grants 50% bonus Attack Speed for 4 seconds.
58,3,7,Follow Through,0,"After using an ability, your next Basic Attack within 6 seconds deals 40% additional damage."
